SAINC4 Personal Income and Employment by Major Component,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,
State or DC,,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,United States,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
1000,Alabama,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
2000,Alaska *,722128,730443,737068,736283,737498,741456,739700,735139,731545
4000,Arizona,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
5000,Arkansas,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
6000,California,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
8000,Colorado,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
9000,Connecticut,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
10000,Delaware,907381,915179,923576,932487,941252,948921,956823,965479,973764
11000,District of Columbia,619800,634924,650581,662328,675400,685815,694906,701547,705749
12000,Florida,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
13000,Georgia,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423
15000,Hawaii *,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872
16000,Idaho,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065
17000,Illinois,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
18000,Indiana,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
19000,Iowa,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
20000,Kansas,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314
21000,Kentucky,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673
22000,Louisiana,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794
23000,Maine,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212
24000,Maryland,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680
25000,Massachusetts,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503
26000,Michigan,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857
27000,Minnesota,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632
28000,Mississippi,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149
29000,Missouri,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428
30000,Montana,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778
31000,Nebraska,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408
32000,Nevada,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156
33000,New Hampshire,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711
34000,New Jersey,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190
35000,New Mexico,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829
36000,New York,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
37000,North Carolina,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084
38000,North Dakota,685225,701176,722036,737401,754066,754434,754942,758080,762062
39000,Ohio,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100
40000,Oklahoma,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971
41000,Oregon,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737
42000,Pennsylvania,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989
44000,Rhode Island,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361
45000,South Carolina,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714
46000,South Dakota,823579,833566,842316,849129,853988,862996,872868,878698,884659
47000,Tennessee,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174
48000,Texas,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881
49000,Utah,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958
50000,Vermont,627049,626090,626210,625214,625216,623657,624344,624358,623989
51000,Virginia,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519
53000,Washington,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893
54000,West Virginia,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147
55000,Wisconsin,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434
56000,Wyoming,567299,576305,582122,582531,585613,584215,578931,577601,578759
91000,New England,14531050,14590224,14644078,14702124,14727243,14755800,14796502,14829322,14845063
92000,Mideast,48439773,48622087,48755073,48855985,48909655,48924589,48938335,48920126,48862933
93000,Great Lakes,46516345,46586241,46690345,46762210,46777517,46812400,46859856,46886387,46902431
94000,Plains,20641455,20750502,20870034,20982957,21083066,21175140,21266925,21350241,21426573
95000,Southeast,79205914,79900818,80533575,81229419,82015571,82872960,83640003,84297704,84902403
96000,Southwest,37987101,38545582,39058517,39662501,40298523,40873443,41362381,41819666,42328398
97000,Rocky Mountain,11084017,11221434,11373572,11522492,11699605,11888537,12062055,12233639,12399296
98000,Far West,53151219,53614102,54068521,54583320,55123983,55638442,56059482,56350416,56572426
Legend / Footnotes:,,,,,,,,,,
3/ Census Bureau midyear population estimate. Estimates for 2010-2019 reflect Census Bureau midyear state population estimates available as of December 2019.,,,,,,,,,,
* Estimates prior to 1950 are not available for Alaska and Hawaii.,,,,,,,,,,
Note-- All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.,,,,,,,,,,
"Last updated: March 24, 2020-- new statistics for 2019; revised statistics for 2010-2018.",,,,,,,,,,