Industries,2012,2013,2014,2015,2016,2017,2018,2019
Farms,780000,789000,803000,817000,820000,819000,814000,814000
"Forestry, fishing, and related activities",547000,567000,577000,623000,627000,632000,634000,643000
Oil and gas extraction,188000,197000,200000,196000,175000,144000,143000,142000
"Mining, except oil and gas",218000,210000,205000,197000,180000,185000,191000,191000
Support activities for mining,389000,403000,436000,358000,255000,293000,339000,340000
 Utilities,551000,549000,550000,555000,555000,553000,553000,549000
 Construction,5761000,5996000,6282000,6613000,6883000,7127000,7419000,7646000
Wood products,341000,355000,371000,381000,391000,398000,406000,407000
Nonmetallic mineral products,366000,373000,383000,398000,407000,411000,416000,417000
 Primary metals,405000,398000,398000,393000,374000,370000,380000,387000
Fabricated metal products,1408000,1425000,1453000,1456000,1419000,1422000,1466000,1484000
Machinery,1100000,1107000,1123000,1118000,1073000,1076000,1113000,1126000
Computer and electronic products,1092000,1063000,1050000,1055000,1048000,1044000,1059000,1074000
"Electrical equipment, appliances, and components",373000,376000,379000,382000,382000,386000,398000,401000
"Motor vehicles, bodies and trailers, and parts",778000,819000,871000,917000,945000,972000,1002000,999000
Other transportation equipment,681000,689000,683000,693000,682000,678000,700000,734000
Furniture and related products,354000,360000,370000,381000,391000,395000,394000,386000
Miscellaneous manufacturing,580000,582000,588000,590000,592000,595000,610000,618000
Food and beverage and tobacco products,1657000,1673000,1703000,1742000,1798000,1858000,1888000,1922000
Textile mills and textile product mills,236000,233000,235000,234000,230000,229000,228000,221000
Apparel and leather and allied products,178000,174000,170000,166000,159000,149000,142000,137000
Paper products,380000,377000,373000,372000,370000,368000,364000,365000
Printing and related support activities,460000,455000,453000,450000,448000,441000,431000,425000
Petroleum and coal products,111000,111000,110000,110000,111000,113000,113000,113000
Chemical products,788000,795000,802000,808000,813000,823000,832000,850000
Plastics and rubber products,646000,658000,674000,688000,702000,715000,730000,731000
Motor vehicle and parts dealers,1756000,1809000,1875000,1950000,1996000,2019000,2033000,2044000
Food and beverage stores,2895000,2963000,3024000,3092000,3110000,3119000,3103000,3088000
General merchandise stores,3111000,3083000,3129000,3188000,3222000,3130000,3111000,3034000
Other retail2,7244000,7346000,7434000,7548000,7632000,7720000,7686000,7568000
Air transportation,463000,451000,452000,464000,478000,497000,506000,508000
Rail transportation,198000,199000,204000,207000,190000,183000,182000,177000
Water transportation,66000,67000,69000,68000,66000,65000,65000,67000
Truck transportation,1373000,1400000,1446000,1480000,1474000,1481000,1522000,1556000
Transit and ground passenger transportation,452000,458000,477000,487000,491000,494000,497000,506000
Pipeline transportation,44000,44000,47000,49000,49000,50000,50000,51000
Other transportation and support activities3,1146000,1173000,1232000,1302000,1344000,1401000,1481000,1622000
Warehousing and storage,678000,713000,749000,834000,933000,1031000,1145000,1249000
Publishing industries (includes software),841000,842000,848000,862000,874000,884000,903000,941000
Motion picture and sound recording industries,382000,385000,388000,412000,448000,428000,424000,441000
Broadcasting and telecommunications,1142000,1135000,1134000,1088000,1073000,1047000,1018000,980000
Information and data processing services,335000,358000,377000,410000,422000,445000,476000,498000
"Federal Reserve banks, credit intermediation, and related activities",2607000,2633000,2583000,2585000,2627000,2677000,2661000,2674000
"Securities, commodity contracts, and investments",858000,867000,884000,907000,922000,927000,945000,952000
Insurance carriers and related activities,2381000,2391000,2477000,2570000,2594000,2665000,2708000,2809000
"Funds, trusts, and other financial vehicles",3000,4000,6000,7000,10000,13000,15000,17000
Real estate,1458000,1499000,1518000,1568000,1597000,1648000,1704000,1757000
Rental and leasing services and lessors of intangible assets4,536000,544000,556000,569000,575000,583000,591000,606000
Legal services,1136000,1145000,1134000,1135000,1140000,1151000,1158000,1168000
Computer systems design and related services,1634000,1713000,1801000,1919000,1987000,2059000,2133000,2198000
"Miscellaneous professional, scientific, and technical services5",5223000,5351000,5507000,5665000,5804000,5891000,6093000,6262000
Management of companies and enterprises6,2007000,2090000,2152000,2195000,2234000,2284000,2351000,2410000
Administrative and support services,7709000,7961000,8245000,8474000,8644000,8734000,8877000,8907000
Waste management and remediation services,371000,377000,388000,400000,402000,417000,437000,451000
Educational services,3360000,3403000,3467000,3540000,3606000,3662000,3705000,3757000
Ambulatory health care services,6331000,6501000,6659000,6880000,7096000,7295000,7512000,7715000
Hospitals,4777000,4778000,4762000,4889000,5009000,5073000,5125000,5178000
Nursing and residential care facilities,3224000,3261000,3292000,3311000,3375000,3350000,3389000,3402000
Social assistance,3091000,3309000,3441000,3564000,3724000,3857000,3993000,4164000
"Performing arts, spectator sports, museums, and related activities",558000,580000,613000,619000,641000,660000,683000,698000
"Amusements, gambling, and recreation industries",1450000,1486000,1559000,1573000,1640000,1675000,1726000,1768000
Accommodation,1823000,1856000,1891000,1930000,1951000,1992000,2025000,2064000
Food services and drinking places,10019000,10386000,10720000,11103000,11469000,11719000,11892000,12045000
"Other services, except government",6785000,6812000,7041000,7081000,7061000,7042000,7268000,7372000